#TIME all_pgs_mb huge_pgs_mb Node0_Foreign Node1_Foreign Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1669073131 898614942 769430484 238016383 209346617 83584645 76886647 825600 930308 91184.53 93845.37 3936.41 2882.52
1669073141 898614942 769430484 238016383 209346617 83584697 76886694 825600 930308 91181.60 93844.81 3939.72 2882.17
1669073152 898614942 769430484 238016383 209346617 83584748 76886746 825600 930308 91182.13 93846.30 3939.36 2882.05
1669073162 898614942 769430484 238016383 209346617 83584801 76886793 825600 930308 91181.43 93846.10 3940.54 2881.76
1669073172 898614942 769430484 238016383 209346617 83584858 76886838 825600 930308 91181.09 93846.15 3940.23 2882.32
1669073182 898614942 769430484 238016383 209346617 83584907 76886890 825600 930308 91182.36 93845.07 3939.46 2882.95
1669073193 898614942 769430484 238016383 209346617 83584957 76886940 825600 930308 91182.05 93845.41 3938.78 2883.55
1669073203 898614942 769430484 238016383 209346617 83585007 76886991 825600 930308 91181.41 93845.73 3940.55 2882.13
1669073213 898614942 769430484 238016383 209346617 83585058 76887042 825600 930308 91181.77 93846.06 3940.06 2881.94
1669073224 898614942 769430484 238016383 209346617 83585107 76887092 825600 930308 91181.87 93845.70 3939.94 2882.28
1669073234 898614942 769430484 238016383 209346617 83585156 76887144 825600 930308 91182.14 93846.27 3939.30 2882.11
1669073244 898614942 769430484 238016383 209346617 83585207 76887194 825600 930308 91182.07 93845.89 3938.82 2882.57
1669073254 898614942 769430484 238016383 209346617 83585257 76887246 825600 930308 91182.33 93846.52 3939.09 2882.43
1669073265 898614942 769430484 238016383 209346617 83585317 76887287 825600 930308 91182.02 93846.01 3939.42 2881.90
1669073275 898614942 769430484 238016383 209346617 83585364 76887341 825600 930308 91181.88 93846.25 3939.64 2881.61
1669073285 898614942 769430484 238016383 209346617 83585415 76887389 825600 930308 91180.09 93846.28 3941.39 2881.58
1669073295 898614942 769430484 238016383 209346617 83585468 76887437 825600 930308 91182.49 93846.99 3938.83 2880.98
1669073306 898614942 769430484 238016383 209346617 83585518 76887488 825600 930308 91183.14 93846.60 3939.78 2881.86
1669073316 898614942 769430484 238016383 209346617 83585570 76887537 825600 930308 91183.59 93846.55 3938.87 2880.82
1669073326 898614942 769430484 238016383 209346617 83585626 76887580 825600 930308 91181.76 93847.41 3939.20 2880.95
1669073337 898614942 769430484 238016383 209346617 83585684 76887623 825600 930308 91183.12 93847.12 3938.75 2881.34
1669073347 898614942 769430484 238016383 209346617 83585727 76887681 825600 930308 91181.92 93846.50 3938.53 2881.91
1669073357 898614942 769430484 238016383 209346617 83585778 76887728 825600 930308 91180.43 93846.79 3941.00 2880.57
1669073367 898614942 769430484 238016383 209346617 83585829 76887778 825600 930308 91182.20 93847.72 3939.28 2880.66
1669073378 898614942 769430484 238016383 209346617 83585886 76887823 825600 930308 91181.28 93848.01 3939.68 2880.35
1669073388 898614942 769430484 238016383 209346617 83585939 76887869 825600 930308 91180.55 93848.14 3940.88 2880.30
