TIMESTAMP        home1-RQ         home1-RD         home1-WR         work2-RQ         work2-RD         work2-WR         scratch-RQ       scratch-RD       scratch-WR       
1669073944        0                0                 0                0                 0                0                 0                0                 0                
1669073955        0                0                 0                0                 0                0                 0                0                 0                
1669073965        0                0                 0                0                 0                0                 0                0                 0                
1669073975        0                0                 0                0                 0                0                 0                0                 0                
1669073985        0                0                 0                0                 0                0                 0                0                 0                
1669073996        0                0                 0                0                 0                0                 0                0                 0                
1669074006        0                0                 0                0                 0                0                 0                0                 0                
1669074016        0                0                 0                0                 0                0                 0                0                 0                
1669074027        0                0                 0                0                 0                0                 0                0                 0                
1669074037        0                0                 0                0                 0                0                 0                0                 0                
1669074047        0                0                 0                0                 0                0                 0                0                 0                
1669074057        0                0                 0                0                 0                0                 0                0                 0                
1669074068        0                0                 0                0                 0                0                 0                0                 0                
1669074078        0                0                 0                0                 0                0                 0                0                 0                
1669074088        0                0                 0                0                 0                0                 0                0                 0                
1669074099        0                0                 0                0                 0                0                 0                0                 0                
1669074109        0                0                 0                0                 0                0                 0                0                 0                
1669074119        0                0                 0                0                 0                0                 0                0                 0                
1669074129        0                0                 0                0                 0                0                 0                0                 0                
1669074140        0                0                 0                0                 0                0                 0                0                 0                
1669074150        0                0                 0                0                 0                0                 0                0                 0                
1669074161        0                0                 0                0                 0                0                 0                0                 0                
1669074171        0                0                 0                0                 0                0                 0                0                 0                
1669074181        0                0                 0                0                 0                0                 0                0                 0                
1669074191        0                0                 0                0                 0                0                 0                0                 0                
1669074202        0                0                 0                0                 0                0                 0                0                 0                
1669074212        0                0                 0                0                 0                0                 0                0                 0                
1669074222        0                0                 0                0                 0                0                 0                0                 0                
1669074233        0                0                 0                0                 0                0                 0                0                 0                
1669074243        0                0                 0                0                 0                0                 0                0                 0                
1669074253        0                0                 0                0                 0                0                 0                0                 0                
1669074263        0                0                 0                0                 0                0                 0                0                 0                
1669074274        0                0                 0                0                 0                0                 0                0                 0                
1669074284        0                0                 0                0                 0                0                 0                0                 0                
1669074294        0                0                 0                0                 0                0                 0                0                 0                
1669074305        0                0                 0                0                 0                0                 0                0                 0                
